date,activation_rate,dau_wau,d1_retention,d7_retention,crash_rate,api_latency_p95,payment_success_rate,support_tickets,feature_adoption,churn_rate
2026-03-01,0.62,0.45,0.55,0.32,0.008,180,0.97,42,0.38,0.021
2026-03-02,0.63,0.46,0.56,0.33,0.007,175,0.97,40,0.39,0.020
2026-03-03,0.61,0.44,0.54,0.31,0.009,182,0.96,45,0.37,0.022
2026-03-04,0.64,0.47,0.57,0.33,0.008,178,0.97,41,0.40,0.019
2026-03-05,0.62,0.45,0.55,0.32,0.007,176,0.97,39,0.38,0.021
2026-03-06,0.63,0.46,0.56,0.32,0.008,180,0.96,43,0.39,0.020
2026-03-07,0.64,0.47,0.57,0.33,0.007,177,0.97,40,0.40,0.019
2026-03-08,0.51,0.38,0.43,0.24,0.045,385,0.81,143,0.22,0.058
2026-03-09,0.48,0.35,0.40,0.21,0.052,412,0.79,187,0.19,0.067
2026-03-10,0.45,0.33,0.38,0.19,0.045,490,0.76,201,0.17,0.071
